"model","group","method","center_at","alpha","se_alpha","p_alpha","p_alpha_fdr","alpha_fmt","alpha_effect_pp_pct","alpha_code","beta","se_beta","p_beta","p_beta_fdr","beta_fmt","beta_dev_round","beta_dev_fmt","beta_code"
"Gemini","White","Robust",0.786,-0.647996809118433,0.00347413728816909,0,0,"-0.648***",-44.26,"---",4.34655293375665,0.038534262518218,0,0,"4.347***",-0.062,"-0.06","0"
"Gemini","Women","Robust",0.36,-0.925520070196021,0.00487790699489897,0,0,"-0.926***",-7.62,"--",6.80852843317085,0.0199706545685297,0,0,"6.809***",0.053,"+0.05","0"
"Mistral","Asian","Robust",0.044,-5.88742228345479,0.0275243308358645,0,0,"-5.887***",-4.12,"--",42.0704138679982,0.191303343521486,0,0,"42.07***",2.667,"+2.67","+++"
"Mistral","Black","Robust",0.111,-10.8124457926541,0.165003671405212,0,0,"-10.812***",-11.1,"---",40.7035576001186,0.692861771179963,0,0,"40.704***",-0.996,"-1.00","--"
"Mistral","Hispanic","Robust",0.182,-0.814957855846426,0.00355531548731634,0,0,"-0.815***",12.48,"+++",2.45220556378674,0.0247437990628621,0,0,"2.452***",-0.467,"-0.47","-"
"Mistral","White","Robust",0.786,-0.242596234212629,0.00337796143403909,0,0,"-0.243***",-34.64,"---",5.83046258286572,0.0377276034926608,0,0,"5.83***",0.361,"+0.36","+"
"Mistral","Women","Robust",0.36,-0.285288379337568,0.00705460092917934,0,0,"-0.285***",6.92,"++",19.4068628226017,0.0782077076253264,0,0,"19.407***",0.178,"+0.18","+"
"ChatGPT","Asian","Trimmed5",0.044,-3.63111466004265,0.305022206791286,1.12231278496341e-32,1.12231278496341e-31,"-3.631***",-1.82,"-",25.6805621640329,2.5985027606482,2.13973497303319e-21,4.27946994606637e-20,"25.681***",1.936,"+1.94","+++"
"ChatGPT","Black","Trimmed5",0.111,-4.77518716659922,0.565087008363657,2.90412497902871e-17,1.45206248951436e-16,"-4.775***",-10.26,"---",20.8233981818287,8.56650329844516,0.0206644595914133,0.0295206565591619,"20.823*",-0.759,"-0.76","--"
"ChatGPT","Hispanic","Trimmed5",0.182,-0.847114581235709,0.217496949164429,9.82658748983024e-05,0.000196531749796605,"-0.847***",11.8,"+++",9.99157115322489,2.16597297774135,3.30613743058247e-05,0.000132245497223299,"9.992***",1.047,"+1.05","++"
"ChatGPT","White","Trimmed5",0.786,0.0136896127599719,0.215230060304715,0.949285102682274,0.949285102682274,"0.014",-28.26,"---",9.33158327778974,2.86532884916309,0.00364070388309973,0.00661946160563587,"9.332**",1.154,"+1.15","++"
"ChatGPT","Women","Trimmed5",0.36,-0.134071521571406,0.232950919220842,0.56492919518228,0.664622582567388,"-0.134",10.65,"+++",9.9288175646838,1.44686642918502,6.77986816291894e-10,6.77986816291894e-09,"9.929***",0.16,"+0.16","+"
"DeepSeek","Asian","Trimmed5",0.0435,-2.12902740596062,0.376662420143013,1.58269937792324e-08,4.52199822263782e-08,"-2.129***",6.28,"++",15.5571991910754,4.21161218507696,0.000547354119256131,0.00121634248723585,"15.557**",1.689,"+1.69","+++"
"DeepSeek","Black","Trimmed5",0.106,-11.3175518792459,1.33705548231863,2.57178412963261e-17,1.45206248951436e-16,"-11.318***",-10.6,"---",22.8132535719988,18.0739640558778,0.227475210599711,0.252750233999679,"22.813",-1,"-1.00","--"
"DeepSeek","Hispanic","Trimmed5",0.188,-0.777625681607909,0.3177675476568,0.0143989859003292,0.0239983098338819,"-0.778*",12.68,"+++",11.0595205336246,3.36568794183285,0.00280033892110129,0.00560067784220257,"11.06**",1.264,"+1.26","++"
"DeepSeek","White","Trimmed5",0.789,0.401127890373614,0.278227804903546,0.149380061035698,0.199173414714265,"0.401",-19,"---",10.9518158947444,3.55482338527728,0.00511778999307778,0.00852964998846297,"10.952**",1.473,"+1.47","++"
"DeepSeek","Women","Trimmed5",0.3535,-0.165902429804969,0.353826986694005,0.639155347549648,0.707485513741804,"-0.166",10.51,"+++",11.398464026128,2.4515788639925,2.21993651329878e-05,0.000110996825664939,"11.398***",0.218,"+0.22","+"
"Gemini","Asian","Trimmed5",0.044,-1.35110427376158,0.181665267796472,1.02741835931722e-13,4.10967343726887e-13,"-1.351***",16.17,"+++",6.63891207829237,2.41031693916619,0.0193100949008925,0.0295206565591619,"6.639*",0.316,"+0.32","+"
"Gemini","Black","Trimmed5",0.111,-3.98745108226069,0.314668931414187,8.46465285530144e-37,1.69293057106029e-35,"-3.987***",-9.28,"--",11.7432507287025,5.47546184415445,0.0497540946959625,0.0663387929279499,"11.743",-0.762,"-0.76","--"
"Gemini","Hispanic","Trimmed5",0.182,-0.905052907647355,0.192209056443881,2.49313613913894e-06,5.54030253141986e-06,"-0.905***",10.6,"+++",7.4777161460702,1.69997380969082,0.000138697251755067,0.000396277862157335,"7.478***",0.568,"+0.57","++"
"Gemini","White","Trimmed5",0.786,-0.5797607346229,0.169213038728053,0.000612049264692975,0.00111281684489632,"-0.58**",-42.7,"---",3.82527984080317,2.15668635897776,0.190192586996544,0.223755984701816,"3.825",-0.15,"-0.15","-"
"Gemini","Women","Trimmed5",0.36,-0.515557133313749,0.247504158894604,0.0372490248509135,0.0573061920783285,"-0.516",1.39,"+",4.32132321103425,0.952921435407467,0.000491380965920641,0.00121634248723585,"4.321**",-0.137,"-0.14","-"
"Mistral","Asian","Trimmed5",0.044,-2.98834862563253,0.512923743754205,5.67352401392834e-09,1.89117467130945e-08,"-2.988***",0.4,"0",26.4392381044729,5.38115699743213,2.27338833078894e-06,1.51559222052596e-05,"26.439***",2.97,"+2.97","+++"
"Mistral","Black","Trimmed5",0.111,-5.20284462542759,0.935789962929266,2.70018511488151e-08,6.75046278720378e-08,"-5.203***",-10.55,"---",13.2904493110379,15.7459824186941,0.435070096174827,0.435070096174827,"13.29",-0.915,"-0.92","--"
"Mistral","Hispanic","Trimmed5",0.182,-0.525508474133642,0.264445738879685,0.046899441219275,0.0669992017418214,"-0.526",18.96,"+++",3.55653235244949,2.22813366578155,0.25122157253834,0.264443760566674,"3.557",-0.164,"-0.16","-"
"Mistral","White","Trimmed5",0.786,-0.28379427552075,0.276505754465641,0.304722215931733,0.380902769914667,"-0.284",-35.65,"---",6.26324706403197,3.59610596757298,0.143304308787972,0.179130385984965,"6.263",0.454,"+0.45","+"
"Mistral","Women","Trimmed5",0.36,-0.146495591216883,0.34611888215956,0.672111238054714,0.707485513741804,"-0.146",10.34,"+++",9.43917656481591,2.07511179711299,4.76520908455228e-05,0.000158840302818409,"9.439***",0.151,"+0.15","+"
